epoch,accuracy,loss,val_accuracy,val_loss
0,0.36617767810821533,1.3323535919189453,0.41786742210388184,1.2815940380096436
1,0.6252421736717224,1.0194027423858643,0.590778112411499,0.985763669013977
2,0.7860503792762756,0.5958927273750305,0.6858789920806885,0.8290427923202515
3,0.8480486869812012,0.4141255021095276,0.6916426420211792,0.7931274175643921
4,0.8834763169288635,0.3271079659461975,0.7118155360221863,0.8123217225074768
5,0.9053418040275574,0.2655888795852661,0.7002881765365601,0.8499019145965576
6,0.9296982884407043,0.21676960587501526,0.7089337110519409,0.9265444278717041
7,0.9429836869239807,0.18475984036922455,0.7031700015068054,0.9804596900939941
8,0.9546083807945251,0.15315645933151245,0.6945244669914246,1.0539968013763428
9,0.9612510204315186,0.13192129135131836,0.7060518860816956,1.10511314868927
10,0.9637420177459717,0.11806841194629669,0.6887608170509338,1.1774773597717285
11,0.9684472680091858,0.10536866635084152,0.6714697480201721,1.1948509216308594
12,0.9706615209579468,0.09825572371482849,0.6858789920806885,1.2418032884597778
13,0.9717686176300049,0.09206678718328476,0.6945244669914246,1.2778470516204834
14,0.975643515586853,0.0849592313170433,0.6829971075057983,1.3073734045028687
15,0.973429262638092,0.08668041974306107,0.680115282535553,1.3471760749816895
16,0.975089967250824,0.07955195754766464,0.680115282535553,1.3597772121429443
17,0.9781345129013062,0.06926161050796509,0.6858789920806885,1.4072277545928955
18,0.9767506122589111,0.07367124408483505,0.6887608170509338,1.4134279489517212
19,0.9748131632804871,0.07691682130098343,0.6829971075057983,1.459482192993164
20,0.975643515586853,0.06976377218961716,0.680115282535553,1.4825146198272705
21,0.977027416229248,0.06561265140771866,0.6858789920806885,1.5001641511917114
22,0.9761970639228821,0.06293226033449173,0.6743515729904175,1.530513048171997
23,0.9761970639228821,0.06552493572235107,0.6772334575653076,1.529363751411438
24,0.9775809645652771,0.06194498762488365,0.6743515729904175,1.609365463256836
